1,1,564621,249198692,2,1,2,1
2,2,15703,233959439,2,1,2,1
3,2,233961776,233968153,2,1,3,1
4,2,233969443,243048760,2,1,2,1
5,3,69244,197856433,2,1,2,1
6,4,45410,20053908,2,1,2,1
7,4,20054332,20079058,2,1,3,1
8,4,20079274,190921709,2,1,2,1
9,5,36344,180692833,2,1,2,1
10,6,203249,170918031,2,1,2,1
11,7,43259,159119220,2,1,2,1
12,8,161222,32962851,2,1,1,0
13,8,32968530,36661686,2,1,2,1
14,8,36662680,38299419,2,1,4,1
15,8,38317398,38835891,2,1,2,1
16,8,38840364,38970749,2,1,3,1
17,8,38973147,42834599,2,1,2,1
18,8,42851076,146293414,2,1,5,1
19,9,46587,141071475,2,1,2,1
20,10,104427,135434551,2,1,2,1
21,11,206767,134944770,2,1,2,1
22,12,161382,133777645,2,1,2,1
23,13,19045720,115106996,2,1,2,1
24,14,20211644,20422583,2,1,2,0
25,14,20424926,37453631,2,1,3,1
26,14,37460312,37789352,2,1,5,1
27,14,37798413,43654755,2,1,6,1
28,14,43663316,46032113,2,1,5,1
29,14,46036104,47683996,2,1,3,1
30,14,47685859,48575475,2,1,4,1
31,14,48577206,51734445,2,1,5,1
32,14,51742618,57956610,2,1,4,1
33,14,57960474,63245967,2,1,3,1
34,14,63248825,107285437,2,1,1,0
35,15,20071673,102400037,2,1,2,1
36,16,91010,35205717,2,1,5,1
37,16,46534977,56007511,2,1,3,1
38,16,56011968,90163275,2,1,1,0
39,17,6689,81048659,2,1,2,1
40,18,100949,78015057,2,1,2,1
41,19,260912,59095126,2,1,2,1
42,20,61795,62912463,2,1,2,1
43,21,10913441,23785485,2,1,2,1
44,21,23786440,23813721,2,1,3,1
45,21,23813859,48084820,2,1,2,1
46,22,16055171,25204514,2,1,3,1
47,22,25204740,34797432,2,1,1,0
48,22,34797600,34801498,2,1,3,0
49,22,34803550,51219006,2,1,1,0
50,X,169805,155233846,2,1,1,0
51,Y,2649553,59033810,0,0,0,0
