"region","chrom","start","end","n_bins","observed","expected","resid","contrib","contrib_share","p_val","padj","class"
1,"chr1",750001,1000000,111,34,48.6486837023334,-2.10021160904017,4.4108888027471,0.000251267414206196,0.0343607709426407,0.107899595063035,"all"
2,"chr1",1000001,2000000,500,149,213.430322302417,-4.41024020144074,19.450218634404,0.00110798670303548,3.92565592116745e-06,7.03428470374193e-05,"all"
3,"chr1",2000001,3000000,445,211,228.829520024862,-1.17864665277557,1.38920793209906,7.91365868656385e-05,0.250407008605212,0.440980892918393,"all"
4,"chr1",3000001,4000000,426,222,215.732683561635,0.426700989509302,0.182073734448218,1.03718770741118e-05,0.687513143881866,0.836629959044699,"all"
5,"chr1",4000001,5000000,500,321,268.821535336223,3.18243298671527,10.1278797149335,0.000576937270732787,0.00215396674250743,0.0131391971292953,"all"
6,"chr1",5000001,6000000,490,262,265.848059258328,-0.236007065124941,0.055699334788888,3.17292692046391e-06,0.844980784318183,0.931037628224532,"all"
7,"chr1",6000001,7000000,500,160,190.475774728017,-2.20818207595488,4.87606808056839,0.000277766471314067,0.0263785635554658,0.088973343192377,"all"
8,"chr1",7000001,8000000,500,174,200.638830031124,-1.88064859340389,3.53683913187203,0.0002014769500821,0.0606940279189429,0.164005445846945,"all"
9,"chr1",8000001,9000000,500,197,172.501055213803,1.86531207186249,3.47938912543595,0.000198204295701348,0.0719276261772408,0.187469549318318,"all"
10,"chr1",9000001,10000000,500,177,177.207843834079,-0.0156133348734412,0.000243776225870214,1.38867753549366e-08,1,1,"all"
11,"chr1",10000001,11000000,500,168,174.165840799439,-0.467208587603244,0.218283864330218,1.24345964285091e-05,0.675234965382759,0.828014818542502,"all"
12,"chr1",11000001,12000000,500,202,185.797350641542,1.18868361146643,1.41296872816888,8.04901267200612e-05,0.250807943730882,0.441213736049767,"all"
13,"chr1",12000001,13000000,500,160,178.492692795247,-1.38417160032907,1.91593101915753,0.000109141502882896,0.174566488333693,0.346033854325982,"all"
14,"chr1",13000001,14000000,403,71,128.903896821076,-5.10005393163191,26.0105501055541,0.00148169767123418,3.60633377764374e-08,1.17492715233007e-06,"all"
15,"chr1",14000001,15000000,500,163,209.024300233031,-3.18338235699596,10.1339232308332,0.00057728154116914,0.00110269354687782,0.0075271961878541,"all"
16,"chr1",15000001,16000000,500,161,178.983998175667,-1.34424722072917,1.80700059043811,0.000102936253016779,0.188044031510998,0.363780187815135,"all"
17,"chr1",16000001,16822000,411,136,140.051525963944,-0.342353446126502,0.117205882074692,6.67666319321465e-06,0.773936468759349,0.892067254321529,"all"
18,"chr1",17300001,18000000,350,114,125.541501915473,-1.03007457551841,1.06105363112944,6.04431927782777e-05,0.324460005993737,0.528537975672752,"all"
19,"chr1",18000001,19000000,500,182,233.685883825708,-3.38108203085054,11.4317156993404,0.000651210622658343,0.000516616175127535,0.00405681473074555,"all"
20,"chr1",19000001,20000000,500,172,185.601831196736,-0.998403862348976,0.996810272353354,5.67835533356478e-05,0.336565761940218,0.542402495493314,"all"
21,"chr1",20000001,21000000,500,215,191.103534363454,1.72861912082991,2.98812406489877,0.000170219255277262,0.0946434358444899,0.22917460351871,"all"
22,"chr1",21000001,22000000,500,143,178.837596018143,-2.67984365698039,7.18156202585804,0.000409099526398155,0.0064376245531842,0.0304776027581161,"all"
23,"chr1",22000001,23000000,500,167,191.504317807249,-1.77073402006324,3.13549896980932,0.000178614504609481,0.0783134258810544,0.19993285129206,"all"
24,"chr1",23000001,24000000,500,154,182.85933657781,-2.13416391937286,4.55465563475294,0.000259457128738158,0.0321487347798933,0.102868775238788,"all"
25,"chr1",24000001,25000000,500,153,177.411812610146,-1.83277334910849,3.35905814920235,0.000191349610716251,0.0679724049379485,0.180108026762568,"all"
26,"chr1",25000001,26000000,500,174,180.763323872046,-0.503042902094399,0.253052161347555,1.44151814032332e-05,0.648313614352126,0.812652431783883,"all"
27,"chr1",26000001,27000000,500,194,180.846815331478,0.978082491879488,0.956645360921189,5.4495548833903e-05,0.345937313337287,0.552094241079183,"all"
28,"chr1",27000001,28000000,500,181,176.998990762712,0.300735127503926,0.0904416169148023,5.15202995021244e-06,0.783479905280754,0.896230504220633,"all"
29,"chr1",28000001,29000000,500,221,171.002170515656,3.82340531572231,14.6184282082936,0.000832742519686559,0.000279271433867667,0.00246360369507262,"all"
30,"chr1",29000001,29880000,440,154,165.421394529134,-0.88802111992454,0.788581509432034,4.49217483429648e-05,0.397753126496173,0.597358938535636,"all"
31,"chr1",30028001,31000000,486,227,227.789451872627,-0.0523068846318113,0.00273601017988562,1.55857523026546e-07,0.993512169758998,1,"all"
32,"chr1",31000001,32000000,500,208,191.470142413199,1.1945891936429,1.42704334156838,8.12918906894095e-05,0.248205514078068,0.438180547328707,"all"
33,"chr1",32000001,33000000,500,173,187.077465219731,-1.02923305256426,1.05932067649075,6.03444745719314e-05,0.320847975563816,0.524441930411322,"all"
34,"chr1",33000001,34000000,500,185,186.574224281552,-0.11524996032402,0.0132825533546881,7.56644065343418e-07,0.946980570040546,0.99285016088191,"all"
