"sample","chrom","start","observed","expected","log2fc","padj","arm","high_cn","cov_frac"
"DO1001","chr11",8000001,8,1.09953604057084,2.40980934178391,0.012597389927191,"positive",FALSE,NA
"DO1001","chr14",106000001,5,0.378400870262021,2.64648022985313,0.0246817559708815,"positive",FALSE,NA
"DO1002","chr5",173000001,16,3.6001732889621,2.00870923454404,0.00129039837572343,"positive",FALSE,NA
"DO1002","chr11",20000001,26,2.32171897629028,3.23134614192951,3.99432756198306e-15,"positive",FALSE,NA
"DO1003","chr3",135000001,8,0.884628921599511,2.61796345320594,0.00354302483505212,"positive",FALSE,NA
"DO1003","chr5",169000001,12,1.28230846271684,2.81010914521554,2.03502261295253e-05,"positive",FALSE,NA
"DO1003","chr14",106000001,6,0.30789201744609,3.00820533726142,0.000932360483417082,"positive",FALSE,NA
"DO1003","chr18",11000001,20,1.97242771144928,3.05162366436504,1.69100721026684e-10,"positive",FALSE,NA
"DO1004","chr1",58000001,13,3.60527372746866,1.71740908232951,0.0452152876257903,"positive",FALSE,NA
"DO1004","chr2",10001,17,3.73110003226123,2.04825022244871,0.000498053940643964,"positive",FALSE,NA
"DO1004","chr2",34000001,38,4.3198306118961,2.99780409541634,3.09891845344023e-19,"positive",FALSE,NA
"DO1005","chr1",44000001,13,2.55714271642265,2.14270359911451,0.00265776730262837,"positive",FALSE,NA
"DO1005","chr1",67000001,11,2.49848430184965,1.93932853626414,0.0303664251658096,"positive",FALSE,NA
"DO1005","chr5",5000001,13,3.19122656078485,1.87078721185993,0.017291610759119,"positive",FALSE,NA
"DO1005","chr5",128000001,13,1.24185870599559,2.95425990028572,1.62936452912231e-06,"positive",FALSE,NA
"DO1005","chr5",150000001,8,1.26342394669763,2.26908348498614,0.0268561712365221,"positive",FALSE,NA
"DO1005","chr7",84000001,11,2.63102011900817,1.8769291772195,0.0435964835706557,"positive",FALSE,NA
"DO1005","chr7",121000001,22,2.81425091702882,2.76317026533045,1.38810014120266e-09,"positive",FALSE,NA
"DO1005","chr8",146000001,3,0.0386940428307403,2.6998169057796,0.00672358963031867,"positive",FALSE,NA
"DO1005","chr9",91000001,21,3.55631692179216,2.40609437957091,4.98601954835529e-07,"positive",FALSE,NA
"DO1005","chr10",37000001,19,4.2569011149082,2.03538018357961,0.000172781023786979,"positive",FALSE,NA
"DO1005","chr10",38000001,26,1.93201715345139,3.44576705016,6.11045250941873e-17,"positive",FALSE,NA
"DO1005","chr10",121000001,25,2.32976947489989,3.17174081222351,4.47385506626368e-14,"positive",FALSE,NA
"DO1005","chr12",7000001,10,1.58830285713646,2.32998646814859,0.00513680455330441,"positive",FALSE,NA
"DO1005","chr15",92000001,12,2.55290400542859,2.03367396317449,0.010103815718037,"positive",FALSE,NA
"DO1006","chr1",247000001,4,87.3272735623312,-4.28667211205632,8.42060585805631e-28,"negative",TRUE,0.129716
