"chrom","class","n_bins","Mb","observed","expected","resid","fold","p_val","D","cv_excess","padj"
"chr1","all",110128,220.1798,58888,64095.0831957101,-20.5675309184284,0.918760021266988,1.42591877760988e-96,6.38752616667385,0.137827715584094,1.63980659425136e-95
"chr2","all",117465,234.866329,58321,58155.1816672955,0.687603906921348,1.00285130796518,0.492778107631623,4.33274375803092,0.117276872096515,0.555535350929099
"chr3","all",96665,193.22641,48125,49006.0774046169,-3.98005517789923,0.982021058381345,6.63400751222654e-05,3.85902882686974,0.106933143025249,0.000127151810651009
"chr4","all",93188,186.331254,42913,41741.8867462448,5.73208812096117,1.02805606897634,1.17041426429489e-08,5.66373560056574,0.14531546131895,2.99105867542029e-08
"chr5","all",86970,173.844373,44284,44012.2207031399,1.29547706792037,1.00617508711258,0.196162453478818,4.12978264215488,0.11250723432668,0.237459812105937
"chr6","all",82371,164.4402,41376,41884.2500203359,-2.48343062833054,0.987865366573613,0.0129475147533675,6.79585863140241,0.152924430763155,0.0198528559551635
"chr7","all",76707,153.354663,41687,44296.5475741811,-12.3988178327621,0.941089143125409,5.77283006947511e-36,5.87398504760851,0.131014527794378,4.42583638659759e-35
"chr8","all",70463,140.875322,46150,47965.1330010729,-8.2879214488814,0.962157240322209,7.55844405774509e-17,7.91374902585446,0.1445699329951,3.47688426656274e-16
"chr9","all",55713,111.3756,24986,25091.6400723634,-0.666905294790218,0.995789829917106,0.507227929109177,6.08378364186403,0.154621545094185,0.555535350929099
"chr10","all",65250,130.4683,32172,32249.9530193889,-0.434078622683252,0.997582848590756,0.66680378747107,6.4751403181353,0.150265369719807,0.697113050537937
"chr11","all",64979,129.910116,31979,30572.2536234656,8.04548219925594,1.04601382658473,1.42744399712825e-15,4.40696233595218,0.121743493470923,4.10390149174371e-15
"chr12","all",64811,129.5583,32013,31778.2447590351,1.31689255959928,1.00738729412984,0.189044157064175,3.58878053705416,0.103697820882869,0.237459812105937
"chr13","all",45971,91.540678,20819,20170.8398074331,4.56373443441149,1.03213352536408,5.6979497279098e-06,4.7686090775318,0.134621498947559,1.31052843741925e-05
"chr14","all",43309,86.57604,19659,19165.0170607264,3.56826701050283,1.02577524130077,0.00038418166426308,12.5075511029221,0.229867825266405,0.000679706021388526
"chr15","all",38353,76.6675,17262,17298.8777414706,-0.28038537099105,0.997868200352548,0.782998801335896,2.34437563076715,0.0798285566944818,0.782998801335896
"chr16","all",38861,77.7099,18122,17048.56479567,8.22113769124757,1.06296337651851,4.13420707617967e-16,7.29543209611108,0.172946337408384,1.35838232503046e-15
"chr17","all",38209,76.36191,17219,16686.2159239569,4.12450948327601,1.03192959257336,4.12613838339672e-05,3.66513138491182,0.113038237077963,8.62738025619315e-05
"chr18","all",36771,73.452648,18904,19242.2551323797,-2.4384643496674,0.982421232332039,0.0146535292709678,3.32494227360827,0.0964547157157057,0.0210644483270162
"chr19","all",27599,55.166983,14686,13350.6565513332,11.5569083236054,1.10002080748107,5.96042719642138e-30,8.79854076571395,0.184064213003993,3.4272456379423e-29
"chr20","all",29333,58.645,17297,16899.6616509829,3.05647943510151,1.02351161563013,0.00234950425430388,4.86797799885004,0.118159300212243,0.00385989984635638
"chr21","all",17132,34.25355,8324,9097.415483496,-8.10874881435784,0.914985142219888,2.02246280692843e-16,6.57247969994811,0.1525657439247,7.75277409322567e-16
"chr22","all",16522,33.0174,6883,7013.31766830622,-1.55611448539638,0.981418541912748,0.120430984756156,7.179414932804,0.178099694307226,0.162936038199505
"chrX","all",74575,149.0868,45035,37991.1670816644,36.1383007813129,1.18540712116568,7.1456771435895e-270,15.8886236465451,0.245666715129038,1.64350574302559e-268
